,feature,importance
0,time,0.03949241169207236
147,X230,0.03797985158154886
149,X232,0.032219042620073635
26,X121,0.016120564146131992
325,X53,0.013735709292916287
324,X52,0.013272227082954516
320,X49,0.012503938291073343
323,X51,0.011931316442625208
242,X316,0.009965308884303924
304,X372,0.00974191084787748
112,X2,0.00936399781100408
25,X120,0.008842909689859499
172,X253,0.008793752869961527
322,X50,0.008461289868075497
23,X119,0.00826000085376677
148,X231,0.00788175588929666
169,X250,0.007471509976375758
350,X76,0.007024677177204657
150,X233,0.006898382382485042
239,X313,0.006796347471030125
48,X141,0.006717852655942278
140,X224,0.006499402704111115
86,X176,0.006244556711717971
138,X222,0.006079411797309876
22,X118,0.0060431553664882075
84,X174,0.005833142506082182
116,X202,0.005795934314070709
118,X204,0.005780150398711479
170,X251,0.005266574738430979
109,X197,0.005188873250893169
151,X234,0.004700380577531321
349,X75,0.004202633110742156
119,X205,0.004136595213332064
27,X122,0.004125739949968526
307,X375,0.004064309906705723
75,X166,0.004013687102620666
117,X203,0.003933359271843374
312,X41,0.003838782101753207
171,X252,0.0032306111058411774
348,X74,0.0031960148969850726
76,X167,0.0030858599772184635
46,X14,0.0030691557249897033
154,X237,0.002920111192432767
47,X140,0.002844714571583883
315,X44,0.002580985661676857
122,X208,0.002524320598650587
139,X223,0.0024857419917511296
44,X138,0.0024017628702535233
2,X10,0.0022953332098575455
77,X168,0.0019413607660627456
90,X18,0.0019216181685505688
120,X206,0.0019086291498942097
371,X95,0.0019056643276912737
351,X77,0.0018259404848272353
372,X96,0.001821067699744469
106,X194,0.0017216555203077746
141,X225,0.0016817548903492144
305,X373,0.0016735629238052918
123,X209,0.0015803459158286342
87,X177,0.0014858967247217002
108,X196,0.0013419234403847563
153,X236,0.0013123258538368758
78,X169,0.001052438736205332
85,X175,0.0010398593928565053
88,X178,0.0010323470257504795
309,X39,0.0010092733624543712
101,X19,0.0009976804848048839
107,X195,0.0008981507828832949
340,X67,0.0008708458823286889
91,X180,0.0008518560587207611
240,X314,0.0008504805564547081
321,X5,0.0008460591168431065
45,X139,0.0007508901972341886
30,X125,0.0006954899680046674
352,X78,0.000656402240328393
338,X65,0.0005903083453448805
152,X235,0.0005814435471892526
354,X8,0.0005344147108683869
374,X98,0.0005215196433237514
121,X207,0.0004936519931451926
142,X226,0.0004936468925642633
1,X1,0.0004921596338453199
3,X100,0.0004569111559078494
224,X30,0.00044856909058586504
327,X55,0.00043758300818856215
124,X21,0.0004148706684303528
52,X145,0.00038360543297651876
14,X110,0.0003534822127580723
29,X124,0.00035214056557078874
212,X29,0.00035113596725817235
310,X4,0.000343297881803887
8,X105,0.00033569882385697266
13,X11,0.0003124192764239327
194,X273,0.0003079228509629268
89,X179,0.00028655328970052436
308,X38,0.00028410902799712025
5,X102,0.0002775699220002623
303,X371,0.0002593579593336507
92,X181,0.0002458247849177101
71,X162,0.0002442363991166116
80,X170,0.00024104167615777533
193,X272,0.0002354292334250674
68,X16,0.0002272643352012885
114,X200,0.00022528459643802036
72,X163,0.00021586010570085184
144,X228,0.00020705780069132443
67,X159,0.000206773698767897
110,X198,0.00020025694349844382
28,X123,0.0001979337041140029
7,X104,0.00018120693542869522
49,X142,0.00017607736079425804
223,X3,0.00017293786230849104
4,X101,0.00016799541277972204
36,X130,0.00016034093865303174
339,X66,0.0001484912216677558
235,X31,0.00014139635570171346
73,X164,0.00014052558736918821
313,X42,0.0001382872767160056
81,X171,0.00013113355061385314
18,X114,0.00013103663957272175
50,X143,0.00013044273962160984
355,X80,0.0001281673997013117
82,X172,0.00012768890672887494
6,X103,0.00012466497790176062
10,X107,0.0001228780746693485
373,X97,0.0001218284752728553
370,X94,0.00011940602350339957
332,X6,0.00011627742896152175
326,X54,0.00011445054822969418
21,X117,0.00011371156120712494
16,X112,0.0001077941761625261
201,X28,0.00010707328469754467
20,X116,0.00010635749833559196
9,X106,0.0001030178048469578
24,X12,9.97000595084992e-05
11,X108,9.679079023332832e-05
41,X135,9.575540891812502e-05
190,X27,9.315711780123477e-05
35,X13,9.092819797369879e-05
356,X81,8.718920979088006e-05
329,X57,8.648029794647829e-05
66,X158,8.544708772588185e-05
330,X58,7.892699903559844e-05
79,X17,7.612682459614451e-05
198,X277,7.106447100565701e-05
115,X201,6.454095772860485e-05
179,X26,6.185469521582755e-05
375,X99,6.121996995840033e-05
195,X274,6.012514643444729e-05
155,X238,5.884081178182186e-05
15,X111,5.843825783149208e-05
113,X20,5.7120022789302165e-05
57,X15,5.350977415226448e-05
328,X56,5.350331028790057e-05
83,X173,5.2672269827892106e-05
145,X229,5.166442828530991e-05
51,X144,4.909974325596574e-05
40,X134,4.856873564686785e-05
38,X132,4.808413551074607e-05
361,X86,4.6948558970576516e-05
146,X23,4.469714153078075e-05
301,X37,4.413354835031631e-05
97,X186,4.409651323445677e-05
31,X126,4.398397863760446e-05
317,X46,4.342044544278845e-05
99,X188,4.289660515719901e-05
333,X60,4.1427901019678527e-05
337,X64,4.112828479448118e-05
341,X68,4.0353875831176706e-05
102,X190,4.028099508632943e-05
358,X83,3.9962310235031486e-05
105,X193,3.950321519053358e-05
210,X288,3.920859678820522e-05
135,X22,3.72830238192645e-05
357,X82,3.555191930544439e-05
70,X161,3.50733440315522e-05
197,X276,3.44748625823174e-05
306,X374,3.404684628677468e-05
12,X109,3.379172492764069e-05
74,X165,3.312249117608154e-05
160,X242,3.234941330627579e-05
143,X227,3.073047078309727e-05
96,X185,2.9797166679931545e-05
93,X182,2.932872900797967e-05
98,X187,2.883007783415876e-05
360,X85,2.8423180812234253e-05
331,X59,2.8144565075665462e-05
104,X192,2.8072655677790696e-05
311,X40,2.743287016043325e-05
264,X336,2.6809133137740718e-05
318,X47,2.6152308826020532e-05
69,X160,2.547374249413808e-05
343,X7,2.4939579956225316e-05
103,X191,2.4892428032792835e-05
111,X199,2.4790500940836133e-05
19,X115,2.476544305872749e-05
238,X312,2.463679510369999e-05
43,X137,2.441039713774037e-05
