,feature,importance
353,X79,2.386362718740674e-05
17,X113,2.3752069719626e-05
359,X84,2.3463623947387825e-05
100,X189,2.3240066924135166e-05
346,X72,2.3079875486455186e-05
156,X239,2.2396345157755178e-05
335,X62,2.1772224542688585e-05
257,X33,1.979066041989949e-05
37,X131,1.8779395343093787e-05
161,X243,1.863850190838714e-05
162,X244,1.6535414584233436e-05
176,X257,1.6481146360799572e-05
158,X240,1.6300102589015235e-05
196,X275,1.5734197748517026e-05
289,X359,1.5116086264791435e-05
233,X308,1.432350980615336e-05
95,X184,1.337507813779336e-05
215,X292,1.2117465598163976e-05
276,X347,1.210561803573904e-05
189,X269,1.1986095910807411e-05
263,X335,1.1837331026046787e-05
367,X91,1.134831843893234e-05
218,X295,1.1331207548736415e-05
182,X262,1.129855998040224e-05
290,X36,1.120859371764393e-05
39,X133,1.1124878715572093e-05
34,X129,1.088992951822713e-05
32,X127,1.061236865963614e-05
159,X241,1.0520903510180124e-05
177,X258,1.0222053178834691e-05
33,X128,1.0192245771912797e-05
42,X136,1.0153109529566588e-05
316,X45,1.0040737839970967e-05
365,X9,9.374447205061994e-06
268,X34,9.3742872282141e-06
127,X212,8.887953346955329e-06
366,X90,8.641880075168312e-06
363,X88,8.624143358788044e-06
246,X32,8.1085001227326e-06
314,X43,7.718039163752392e-06
362,X87,7.368762041925834e-06
206,X284,7.086506438728127e-06
344,X70,7.037965350835444e-06
364,X89,6.934678896191363e-06
319,X48,6.762509301353274e-06
94,X183,6.663243333967451e-06
347,X73,6.2965259890083356e-06
174,X255,6.001941485467968e-06
164,X246,5.899622472057038e-06
163,X245,5.299667834231728e-06
236,X310,5.283945780503091e-06
131,X216,4.925278057375186e-06
265,X337,4.686639528270792e-06
336,X63,4.200757821218607e-06
241,X315,3.965919208546791e-06
125,X210,3.9539915238866584e-06
130,X215,3.869640619011063e-06
166,X248,3.6339483350516726e-06
173,X254,3.541803883832209e-06
185,X265,3.4650253587183015e-06
165,X247,3.0835106764839887e-06
183,X263,3.0162312513895233e-06
334,X61,2.9828478526971454e-06
167,X249,2.9099157159710926e-06
345,X71,2.831470480422801e-06
180,X260,2.7783676696640555e-06
369,X93,2.750392977148755e-06
281,X351,2.688487757955916e-06
191,X270,2.5174096821999934e-06
261,X333,2.5140421773633085e-06
291,X360,2.4763881454503863e-06
213,X290,2.4579554267430888e-06
175,X256,2.278727752267143e-06
56,X149,2.145591157932723e-06
200,X279,2.1139148457969968e-06
274,X345,2.0729301637640906e-06
245,X319,1.946361465948263e-06
217,X294,1.589843631353949e-06
178,X259,1.529965347048446e-06
54,X147,1.4947129436967887e-06
256,X329,1.4256754440135888e-06
251,X324,1.315585562089447e-06
342,X69,1.0656099923131676e-06
368,X92,1.0418077730615247e-06
203,X281,9.647686052481781e-07
199,X278,9.628727675577578e-07
188,X268,9.600514110147415e-07
186,X266,8.694535479999333e-07
214,X291,8.635909281364545e-07
243,X317,8.112538567356985e-07
237,X311,7.679584156188147e-07
280,X350,7.308322524928415e-07
253,X326,7.147700538226909e-07
277,X348,6.434453127106349e-07
192,X271,5.784109468968789e-07
202,X280,5.772605081700653e-07
220,X297,5.613117127578303e-07
244,X318,5.350353286497794e-07
278,X349,5.059913123042618e-07
231,X306,4.837914373368003e-07
249,X322,4.6458055707287353e-07
266,X338,4.5193664412986313e-07
250,X323,4.450901202193095e-07
269,X340,4.421306719728171e-07
129,X214,4.011006074108036e-07
230,X305,3.952226106177928e-07
298,X367,3.910750199094866e-07
205,X283,3.837813089290015e-07
232,X307,3.1317721129052044e-07
288,X358,2.9560191295904053e-07
226,X301,2.9062722406385426e-07
187,X267,2.528474940717071e-07
294,X363,2.4486568918981333e-07
259,X331,2.3637350722237517e-07
229,X304,2.3215129978828788e-07
208,X286,2.052033092494995e-07
204,X282,2.0472687702136678e-07
55,X148,1.6063406751846372e-07
234,X309,1.5752881232238044e-07
260,X332,1.4557096901450234e-07
133,X218,1.3085626876665498e-07
227,X302,1.266836850069907e-07
270,X341,1.2464985013057818e-07
211,X289,1.2385321915441815e-07
184,X264,1.1603481872187137e-07
222,X299,1.125446566579174e-07
283,X353,1.1080883954183866e-07
228,X303,1.0921474475717043e-07
181,X261,9.748589692556588e-08
247,X320,9.574070727236587e-08
254,X327,8.794350781980397e-08
59,X151,6.368081435507183e-08
271,X342,6.264064315505268e-08
272,X343,5.477966508253888e-08
132,X217,4.900097471353635e-08
258,X330,4.3667006923778253e-08
209,X287,4.012410782476957e-08
207,X285,3.6582322017069454e-08
285,X355,3.5102013794795366e-08
221,X298,2.940587120712328e-08
128,X213,1.542408757676669e-08
219,X296,1.368740276996375e-08
300,X369,1.100750329914724e-08
248,X321,1.045046697047082e-08
252,X325,9.966841834423075e-09
53,X146,9.26570929630447e-09
157,X24,0.0
168,X25,0.0
287,X357,0.0
284,X354,0.0
282,X352,0.0
299,X368,0.0
292,X361,0.0
134,X219,0.0
293,X362,0.0
295,X364,0.0
296,X365,0.0
137,X221,0.0
297,X366,0.0
126,X211,0.0
136,X220,0.0
279,X35,0.0
302,X370,0.0
275,X346,0.0
273,X344,0.0
267,X339,0.0
65,X157,0.0
216,X293,0.0
255,X328,0.0
64,X156,0.0
225,X300,0.0
63,X155,0.0
62,X154,0.0
61,X153,0.0
60,X152,0.0
58,X150,0.0
286,X356,0.0
262,X334,0.0
