,feature,importance
96,X185,0.0
95,X184,0.0
114,X200,0.0
116,X202,0.0
139,X223,0.0
118,X204,0.0
137,X221,0.0
136,X220,0.0
135,X22,0.0
134,X219,0.0
133,X218,0.0
132,X217,0.0
131,X216,0.0
130,X215,0.0
129,X214,0.0
128,X213,0.0
127,X212,0.0
126,X211,0.0
125,X210,0.0
124,X21,0.0
123,X209,0.0
122,X208,0.0
121,X207,0.0
120,X206,0.0
119,X205,0.0
375,X99,0.0
